description,profile_image_url,id,name,screen_name,location,party
"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",http://pbs.twimg.com/profile_images/1322868917350633473/XVo77UyL_normal.jpg,23022687,Ted Cruz,tedcruz,"Houston, Texas",republican
"""Trump Card"" is an exposé of the socialism, corruption, and gangsterization that now define the Democratic Party. Available on DVD and VOD now.",http://pbs.twimg.com/profile_images/890967538292711424/8puyFbiI_normal.jpg,91882544,Dinesh D'Souza,DineshDSouza,United States,republican
Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,http://pbs.twimg.com/profile_images/975343259001106432/7uzLo2Tx_normal.jpg,11134252,GOP,GOP,,republican
"Chairwoman @AZGOP, mom, military wife, family physician, & former AZ State Senator #Win2020 #KeepAmericaGreat #ProLife #ProFamily #ProFreedom 🇺🇸",http://pbs.twimg.com/profile_images/1221960046222831616/itarRYxl_normal.jpg,359403242,Dr. Kelli Ward 🇺🇸,kelliwardaz,"Phoenix, AZ",republican
@WhiteHouse Press Secretary. Connecting the American People to President @realDonaldTrump’s agenda. Tweets may be archived: https://t.co/eVVzoBb3Zr.,http://pbs.twimg.com/profile_images/1250415895383506944/EttGxOru_normal.jpg,818927131883356161,Kayleigh McEnany,PressSec,"Washington, D.C.",republican
"Director of Operations @realDonaldTrump 2020. Previously @NASA, @WhiteHouse, @realDonaldTrump 2016.",http://pbs.twimg.com/profile_images/1191484499047145473/0aTce6SG_normal.jpg,473654129,Megan Powers,_MeganPowers,"Washington, DC",republican
"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",http://pbs.twimg.com/profile_images/1109170568950095879/Q5nCWHLB_normal.png,1108472017144201216,Trump War Room,TrumpWarRoom,MAGA Country,republican
@Mike_Pence Comms Director. #1 fan of @realDonaldTrump & @Mike_Pence. Tweets may be archived: https://t.co/eVVzoBb3Zr.,http://pbs.twimg.com/profile_images/1268550052076818432/zUJ9Us2__normal.jpg,842071545296084992,Katie Miller,VPComDir,"Washington, DC",republican
"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",http://pbs.twimg.com/profile_images/1202307702715830277/1fZGqKca_normal.jpg,1084375028,Jason Miller,JasonMillerinDC,"Washington, DC",republican
"@realdonaldtrump 2020 Strategic Advisor, former Special Assistant to POTUS, Comms Director - Trump Inaugural, Battle for 1600 Podcast - https://t.co/oceoPNhuUh",http://pbs.twimg.com/profile_images/1321211587211001856/kF2VRn1__normal.jpg,76543481,Boris Epshteyn,BorisEP,"ÜT: 40.744258,-73.995578",republican
Christian • Single Mom • #StandWithIsrael 🇮🇱 • Former @realDonaldTrump appointee #CruzCrew #McCain alumni #2A #ProLife #MAGA,http://pbs.twimg.com/profile_images/1317612740735795200/qgXqaEDg_normal.jpg,582135529,XIMENA,RepublicanChick,"Washington, DC",republican
