,clean_text,label
36, Donald Trump stands without any real rivals as the worst American president in modern history writes the editorial board,Democrat
37,DeBozo needs to go Lets take back our city,Republican
38, Its not controversial to say that and I will listen to scientists,Democrat
39, The Trump appointeesWillett Duncan and Hohave granted a stay pending appeal leaving Texass ridiculous one ballot dro,Democrat
40, Its a hard permanent boycott in our household of   if they collude with trump,Democrat
41, The progression of Kamalas faces when Norah ODonnell asked her if shed be sharing her socialist perspective with B,Democrat
42,No they are not FFSThe source was the Chinese guy that just had his assets frozen,Democrat
43, I am old enough to remember when Trump had a  chance of winning just days from the election The lies nee,Democrat
44, President Trump is now running against Joe Biden the media and Barack Obama Obama has gone all in and this is now h,Republican
45, Also Melania calls it little pee pee,Republican
46, Given Supreme Court rulings on mail ballots and Trumps effort to undermine the Postal Service I strongly suggest that you,Democrat
47, Backstage in Flint reunited and it feels so good,Republican
48, A new study on Bidens tax healthcare energy and regulation proposals predicts less in median household income b,Republican
49,All the poor brown people who died in the murder for profit campaigns he is responsible for would disagree,Democrat
50, Trump again defending his supporters who surrounded the moving Biden campaign bus They escorted the bus And the radical left,Democrat
51, Totally Negative China Virus Reports Hit it early and hard Fake News is devastated They are very bad and sick pe,Republican
52, Minutes Lesley Stahl to VP Pence I feel that you both have insulted Minutes by not answering any of our question,Democrat
53, If Donald Trump wins again despiteTwitterFacebookThe entire mainstream mediaThe deep staters in the intell community,Democrat
54, ok if Trump isnt up on the air in Texas Ohio and Iowa where IS he up,Democrat
55, Donald Trump says hell fire Dr Fauci after the election,Democrat
56,Democrats encourage riots,Republican
57, The above video amp this one were taken around 15pm The rally ended around 45pm Some just gave up and walked fro,Democrat
58,We need a President who truly cares about Science I think Biden is that man The Trump has abandoned investment in Science I hope that if becomes President all of that will be reversed and Joe will be firmly committed to investing in Science,Democrat
59, Trump hasnt been seen on camera for hours Where is the presidentWe need people to respond to this tweet wi,Democrat
60, More than million Americans have already voted We are making historyJoin us,Democrat
61,Was that a smart car trying to get in behind the bus at the end lol,Democrat
62, by the numbers25000 people1000 am arrival1150 pm departure27 degrees14 hours in the cold100s,Democrat
63,Your mom,Republican
64, In September for the Biden campaign they hauled in mil in donations AmazingIn September for the Trump campaign,Democrat
65, BREAKING Joe Biden has called a lid on campaign activities days out from an election after explosive revelations fr,Republican
66, The liberal media claims that they cant report on the s Biden revelations because they havent been corroborated,Democrat
67, HOLY COW Hunter Bidens former business partner has turned over emails to Peter SchweizerBiden is finished,Republican
68, How to spot people who never go to churchTalking crap about for giving an OFFERING is something,Democrat
69,A is perfectly safeMany gun owners on the centerleft we just dont patrol WalMart,Republican
70, The best argument I have ever heard for women to vote for,Democrat
71, The Bidens got rich while America got robbed,Republican
72,Pretty much Clinton gt Biden ,Republican
73,That is encouraging news Now lets get Joe Biden and Kamala Harris elected so we can all breathe and go on a vacation,Democrat
74, BREAKING Document reveals Biden family friend admits finding employment for Hunter on Wall Street  including a whoppi,Republican
75, My cousin died today from Covid19 He was alone in a hospital for the last weeks of his life Trump dances,Democrat
76, Thank you,Republican
77, The Trump recession started in February before the pandemic The Trump recession started in February before the pandemic,Democrat
78, Here is a link to the video of Vimeo tweeted by ,Democrat
79,Without America would fail to lead the world His rivals wont be able to face all these new bio threats and economic challenges,Democrat
80,Compare MN WI MI OH PA NC and tell me the results Hillary had bigger leads,Democrat
81, Thank you Greg You got their Hoax right from the beginning,Republican
82, The moral rot of Trump WH lawyersWaPo WH Counsel Cipollone understood US intel warning that Giulianis BidenBurisma esca,Democrat
83, Joe Biden promete legalizar a millones de migrantes indocumentados en los primeros das de su gobierno Qu tal,Republican
84,Donald Trump doesnt care about who doesnt have Insurance Millions of preexisting cases even due to Covid Voting in the election is for our younger generation,Democrat
85, Just so we are clear everything he accuses of is something trump is already doing,Democrat
86, Hey when will Trump release his taxes He seemed to not answer that for years And the press gave up,Democrat
87, Youre such weak and corrupt little coward  You know you cant win a fair election so you say its,Democrat
88, Despite Amy Coney Barrett claiming she has no agenda Sen Whitehouse exposed Trump and the GOP for using this nomination,Democrat
89, Democrat Joe Biden says he doesnt plan to eliminate all the tax cuts enacted by President Trump just those that apply to the top,Republican
90,The majority of us do NOT want YOU,Democrat
91, The one thing that could prevent trump from winning this election is if you dont walk out the door to vote Dont leave,Democrat
92,Oh my This is the real Trump Derangement Syndrome,Democrat
93, Okay Im officially scared,Democrat
94, Well well well,Democrat
95, NEW Law enforcement source tells FBI  DOJ concur with laptop  emails said to belong to Hunter,Republican
96,The Secretary of State manages state elections Not the AG,Democrat
97, We face a clear choice in  Reelect Trump who abuses his position privilege and powers to punish truthtellers and,Democrat
98,Its the first time shes allowed one of her songs to be used in a campaign ad,Democrat
99, What Trump and his party have wrought ,Democrat
100, DONT FORGET ABOUT US days without healthcare amp,Democrat
101,Trump was just joking Trump said that Trump doesnt kid on slowing down testing,Democrat
102,Thanks for asking Im depressed anxious concerned fearful consumed with Trump HATE and just updated my euthanasia kit,Democrat
103,During swine flu kids were in school we didnt have to wear masks sports stadiums were full of fans country did not shut down for a month Covid has been far worse under your leadership,Democrat
104,Thank you Trish your the best,Republican
105, We salute Trump for crush COVID given to him by Democrats,Democrat
106, Smokinggun email reveals how Hunter Biden introduced Ukrainian biz man to dad,Republican
107, Thousands of people left out in the cold and stranded in  after a rally Im told the shuttles aren,Democrat
108,Yeah this devil hes a racist just like trump but much better disciplined in hiding it,Democrat
109, And my question is because these murders will continue if nothing REAL gets done to change this system do we even WANT,Democrat
110, My goodness Trump is debating noone and still losing,Democrat
111,Voters have a right to know who trump owes 421M to and what hes hiding in his tax returnsWe have a right to know why trump interfered with kushner getting security clearance What was kushners involvement in selling nuclear secrets to MBS and cover up of Khashoggis murder,Democrat
112, Paying rent for empty offices to Trump That could be where the money went,Democrat
113, my main prediction is that if Trump does lose all the conservatives who supported and enabled him for the last years wi,Democrat
114,Trump Steven Miller amp Jeff Sessions should be charged with crimes against humanity by the US Congress for these horrific acts of cruelty,Democrat
115, Biden reacts to the comments from Meadows,Republican
116,They have the emails,Democrat
117, Who the hell does trump owe billion toSeems kind of important,Democrat
118,BREAKING NEWSIn a Real UnClear Politics poll reports that with less than weeks until election is behind points to Hitlery Clinton points to AlChad Gore points to Walter Mondale amp points to Billy Beer Carter  or  points or so,Republican
119, If Mr Trump thinks Savannah Guthrie was hard on him wait until he meets the SDNY prosecutors,Democrat
120,That story in the post is almost as factual as thinking this dog would actually like you,Democrat
121,Rudy Giuliani Is My Father Please Everyone Vote for Joe Biden and Kamala Harris via,Democrat
122, As Trump attacks Fauci and calls him a disaster he was just awarded the National Academy of Medicines firstever Presidenti,Democrat
123, At am Trump posted a minute video of him dancing to YMCAHoly hell who thought that was a good idea,Democrat
124,What a huge mess hes made,Democrat
125, Trump supporters blocking roads and highways around the country today aka doing exactly what they spent all summer yelli,Democrat
126, Trump wants to steal your healthcare heres more proof We gotta vote him out and Congressional Republicans who enable him,Democrat
127, Trump  If the Covid doesnt get you the hypothermia will,Democrat
128,,Republican
129, DOJ says it was told by the White House counsel that the Presidents statements on Twitter were not selfexecuting declassi,Democrat
130,,Republican
131, Carl Bernstein is reporting that Trump insiders are saying that he is planninga scorched earth campaign in the final,Democrat
132,I cant believe you think this is ok This is intimidation and multiple laws probably including felonies committed by these loved Texans Please vote this cancer out of office,Democrat
133,I hate Trump but Im super confused This is how you pronounce pedophilia There is SO MUCH to attack him for Ill never understand why people make stuff like this up,Democrat
134, The issue is beyond Trumps health Hes deteriorating in a predictable way The issue isEnablers dragging it out to th,Democrat
135,If we come together You literally said black people arent black if they vote for Trump God forbid a person of color has a mind of their own and votes how they want to without being race shamed,Democrat
136, I watched Joe Biden on my phone streaming it through ABC site this man has got the decency and ideas,Republican
137, Hunter Biden was paid millions because foreign interests wanted access to Vice President BidenWheres the FBI Wheres,Republican
138,The Trump corruption and crimes dont stop Trumps traitorist acts go so deepThe truth will eventually come out it always does Trump is a pathological lyjng phone a corrupt Tax evader racist a draft dodger who call me and all that served our Country losers and suckers,Democrat
139, Randomly ran into my to Joey in between poll sites He voted for BidenHarris on the line https,Republican
140, Nice try at deflection  But everyone knows the CCP is supporting Biden and everyone knows why,Democrat
141,probing whether emails in New York Post story about Hunter Biden are tied to Russian disinformation via,Republican
142,Some people think that Mr Trump is destroying the United States and so China can rise because of the decline of the US Thats the idea of some pundits I dont share that belief Dr Lu Xiang discusses USChina relations in our Podcast,Democrat
143, Donald Trump stands without any real rivals as the worst American president in modern history writes the editorial board,Democrat
144, Nobody is voting on Hunter Biden or Burisma or even cares about either of them who wasnt already voting for Trump The,Democrat
145, Only authoritarian governments jail journalists craves that kind of power Dont trust the polls Don,Democrat
146,If you bitch and moan about Trump and the state of politics and you dont vote this election you need to stfu,Democrat
147,New respect Wheres Ben been for the last years Oh I know protecting his own ass which hes doing right now,Republican
148, What if Trump is being his best,Democrat
149, If youre an consultant in Washington DC doing work for  or Adelson youre not on right side of,Democrat
150, Heres something that will be very different if Im president Ill actually listen to Dr Faucis advice and expertise not,Democrat
151, Wear a mask Wash your hands Vote out Donald Trump,Democrat
152, TONS of boats for President in CALIFORNIA,Republican
153,Here is when you get that bad taste in your mouth when that wave hitsI bet this will taste betterErr Maybe not,Democrat
154, All of my CubanAmerican relatives in Florida told me that theyre voting for with the exception of one of,Democrat
155,Sounds similar to when Trump called Matt Gaetz Rick Gates Its laughable that what might be a slip of the tongue becomes an OMG he is senilemoment Its Tweets like this are what is wrong with this country Everyone is looking for a gotcha line Pathetic,Democrat
156, This is the most important election of our lifetimes Dont wait to make your voice heardVote early today,Democrat
157,Now you see that Obama is the worse president in American history only because Trump said so Not that he is perfect but he is definitely not the worst cuz after seeing him speak again years under Trump we know who is worst,Democrat
158, NEW Dr Fauci says he has been taken out of context in a Trump campaign ad that features his comments without my permission,Democrat
159,ONE liar,Democrat
160, Americas response to Trump fighting with Dr Fauci and distorting his words for a deceitful campaign adCondemn the ad Don,Democrat
161, NEW This effort by Rudy Giuliani and the New York Post and Steve Bannon to cook up supposed dirt on Joe Biden looks li,Republican
162, The medias role in covering up the grotesque behavior of the Biden crime family wont be forgotten The media is doing the b,Democrat
163, New and notable Jill Biden is traveling to El Paso Dallas and Houston on Tuesday the latest indication that ca,Republican
164, If Donald Trump wins again despiteTwitterFacebookThe entire mainstream mediaThe deep staters in the intell community,Democrat
165, So now Bill Barr is not just DONALD Trumps lawyerfixerbut he is also MELANIA Trumps lawyer And Barr has deployed,Democrat
166, No amount of great communicating would make suppressing a newspaper article acceptable especially since Twitter was for tw,Democrat
167,Look at all the preCOVID infection group,Democrat
168,my dumbestannoying coworker is here talking up trumps trade points that make no sense my boss is like you dont understand math my guy,Democrat
169, President Trump is the illegitimate President from that Putin help win the Election We cant let that happen agai,Democrat
170, Social media ran the totally unverified Atlantic Magazine story that didnt have a single source they could name They ra,Democrat
171, This video zeroes in on something critical Trump feels NO WEIGHT on his shoulders AT ALL from the suffering,Democrat
172, The Hunter Biden emails are not a Russian disinformation campaign,Democrat
173, Is there a Go Fund Me for these celebrities who want to leave when Trump wins I will gladly donate,Democrat
174,Are you joking Look at whats going on in this country We even have Senators bragging about the intimidation wielded by Trump supporters Partly thanks to you our country is spiraling downward,Democrat
175,Donald Trump confuses Rudy Giuliani as his lawyer when he is a more of a man whore in a hotel room,Democrat
176, Sounds like you got too excited and finished prematurelyI guess you owe Lesley Stahl 130k now,Democrat
177, Cent voting for Trump bc with Bidens tax plan hed be Cent and that just doesnt have the same ring to it,Democrat
178,,Republican
179, Joe Biden is a corrupt politician and everybody knows it Now you have the proof perhaps like never was had before o,Democrat
180,The simple act of meeting a child at their eye level The natural humane gesture of someone with class,Democrat
181,I fully agree with you Hence the point that there is no way this will help Joe Biden as per OP Lol,Democrat
182, In February if you were a wealthy donor or Bob Woodward you got the real story from Trump and his Administration about th,Democrat
183,Good lord I am so sorry Unfortunately Joe Biden will never denounce these kinds of people because it was only important when toxic supporters were Bernies,Republican
184, AMAZING breaks singleday fundraising record with a total of MILLIONplus raised in,Republican
185, realities facing the corrupt Biden family,Republican
186, Joe Biden is hell bent on destroying our way of lifeBiden and his far left agenda will end the America we kn,Republican
187, US Marshals did you murder a man at the request of Trump,Democrat
188, Character is on the ballotVote,Democrat
189,Notta nothing zilch,Democrat
190,This Hunter Biden story is NUTS,Republican
191, If Trump would just move to another platform Jack amp Zuck would have their millions disappear,Democrat
192, Ill file that with what Susan Collins said about Trump learning his lesson from impeachment,Democrat
193, Insider Docs Hunter Biden Associates Helped Chinese Military Contractor Buy MI Manufacturing Business,Republican
194,Right because Democrats are the ones not listening to scientists and spreading nonsense conspiracy theories Did you even listen I guess you are just too deep in the Trump cult to understand when an educated person is eviscerating your leader,Democrat
195, If this America First president wants to prove he didnt pay more in taxes to China than he did in the US he could rel,Democrat
196,Ha,Democrat
197, Ron DeSantis giving high fives to MAGA cultists while sneezing amp wiping his nose with the same hand at Trumps Covid bash s,Republican
198,,Republican
199,Joe Biden cares and he is reading your Instagram posts,Republican
200, Well folks this is the beginning of the end Hidden Biden,Democrat
201, Do NOT miss part two of our reporting on the Hunter files,Democrat
202, The Union Leader1001002016,Republican
203, President Trump has said he wants to terminate the ACARepublicans have voted repeatedly to overturn itJudge Barrett,Democrat
204, Biden cares about the success of the Latino community He will invest in economic mobility help end racial health disparit,Republican
205,Where is the location of the DriveIn Rally tonight for in with ,Republican
206,  of Trump supporters believe that top Democrats are involved in elite child sextrafficking rings and  of Trump,Democrat
207,Would love to see how this was actually calculated At least prove to me it wasnt made up on the spot,Democrat
208, Trump was also owned by any other state with an intelligence service aware of this hidden cash paymentBecause once yo,Democrat
209, One of Trumps big lies was that he closed the Chinese bank account in  That is a lie He got a 17M infusion in,Democrat
210, If Biden wins will we be able to critique his policies Or will there be a new excuse not to,Democrat
211, The only thing good that will come out of this term Trump Presidency is the outing of so many people you didnt realize w,Democrat
212, BREAKINGJ officials confirm Hunter Biden and his business associates are currently under ACTIVE criminal investigat,Republican
213, To whom does trump owe ,Democrat
214,Ready to be rid of the Trump and the GOP,Democrat
215, days Lets bring this home,Republican
216, Join us and workers across the country this Friday at PM ET for the first Union Members for BidenHarris Text B,Democrat
217, Given Supreme Court rulings on mail ballots and Trumps effort to undermine the Postal Service I strongly suggest that you,Democrat
218, Trump Is For Trump ampCould Not Care Less About Everyone Else,Democrat
219,I Wonder That All The Time Actually I Was Wondering That In When Trump Was Elected How can They Vote For Him,Democrat
220,Why are Trump amp republicans so scared to count every vote,Democrat
221, Be a patriot Wear a mask,Republican
222,,Republican
223, Nov   Morning Reader Data Points National Daily Other NonWhite Excludes Black Likely Voter Job Approval F,Republican
224, No president has ever achieved results the way Donald Trump hasHe just confirmed his THIRD Justice in four yearsHes,Democrat
225, LESLEY STAHL Youre okay with some tough questionsTRUMP No Im notSTAHL Youre not okay with tough questions,Democrat
226,,Republican
227,  EmmaJo Morris Artemenko Nabil Bader Brian Benczkowski Gabrielle Fonrouge Hannity OAN Trump Barr Nunes F,Democrat
228,The topics for Thursdays final Presidential debate have been posted Fighting Covid American Families Race in America Climate change National Security and leadership Retweet this if you think The Biden Family Corruption should be a topic,Democrat
229,You were so dishonest Four years before you were elected on your campaign trail in and for four years nothing you just hate Obama more than you care about America and our healthcare You have got to be defeated this year or America will be gone as we know it,Democrat
230, is trending number five in the United States Please retweet reply here with the hashtag and tweet it o,Democrat
231, Income for the typical New Hampshire family increased in President first years in officemore t,Republican
232, Just signed an order to establish the Commission We will stop the radical indoctrination of our students and re,Democrat
233, Donald Trump believes he deserves more years This graph is proof he shouldnt even get more minutes,Democrat
234, A vote for Republicans is a vote for the American Dream its a vote for acknowledgement that Abraham Lincoln was a Republican,Democrat
235,  will This be the end of fake news like CNN will they finally be truthful and hold democrats JoKe who is caug,Democrat
236, Heres a racial discrimination case that Barrett did decide where she wrote that being called the nword at work by you,Democrat
237, I had no idea how much Marxism had taken over our country until President Trump became President,Democrat
238, Strongly Trending Google since immediately after the second debate is CAN I CHANGE MY VOTE This refers changing it,Democrat
239, I ran for office years ago because I could not sit by amp watch any longer as a small group of Washington Insiders con,Democrat
240, Univ of WisconsinMadison pollsMichigan Likely votersJoe Biden Donald Trump Pennsylvania Likely votersJo,Republican
241,Ill choose to remain a republic Trump,Democrat
242, To all the Hispanics voting for Trump today I promise you voting for Trump isnt going to make you white,Democrat
243, Donald Trumps COVID19 response has been the greatest failure of presidential leadership in our nations history,Democrat
244, The most upsetting thing about this situation is the fact that the doctors on the White House Covid Task Force have been b,Democrat
245, Breaking NBC Lawyers say they cant find the parents of migrant children separated by the Trump administrationhttp,Democrat
246, Biden Takes Town Hall Question From Undecided IrishAmerican Voter Henry OClintonhan,Republican
247, Dr Fauci tells that the Trump campaign should take down the TV ad featuring him misleadingly quoting him pra,Democrat
248, MAKE AMERICA GREAT AGAIN,Republican
249,The nightmarish orangefaced ,Democrat
250, If Joe Biden hasnt taken foreign money how does he have multiple homes private aircraft domestic staff How does this,Republican
251, Joe Bidens response to the H1N1 Swine Flu far less lethal than Covid  was one of the weakest and worst in the his,Republican
252, A vote for Joe Biden is a vote for a cleaner healthier richer fairer and safer America,Democrat
253, Big day in the JFK Jr lives sect of QAnon as the man himself is expected to reveal himself and replace Pence as Trumps,Democrat
254, Democrats will win the House because they have a plan to  Donald Trump is delusional to think otherwise,Democrat
255,He isnt accused of rape like serial child groper Biden Get it,Democrat
256, Trump is really out here changing hearts and minds Lil Pump is now FULLBLOWN MAGAHow it started How,Democrat
257, Where will all the Trump staffers go Preparing for the worst the GOP ponders life after Trump,Democrat
258, Empathy is instinctive for  America needs his humanizing leadership,Democrat
259, Jim ONeill  will be a fantastic Attorney General for North Carolina Strong on Law amp Order the Constit,Republican
260,Good Florida voter here voting for trump but hasnt cast yet So at least their lead will shrink by one more,Democrat
261, My opponent GOP Sen David Perdue of antiSemitic attack ad infamy just mocked Sen Harris name as Kamalamalamalawhateve,Democrat
262,Youre explaining too much to them They dont get it I see trump people saying why cant we get along here Ill tell you why yall support racism theres no middle ground Youre just as guilty by association Fuck that side and them voters completely,Democrat
263, Trump will try anything and everything to keep US from voting It wont work The Truth is Marching On,Democrat
264,Cannabis stocks states voting for legalization Regardless who wins a safe bet A Biden victory adds extra,Democrat
265, Im voting for BidenHarris raise your hand if you are too,Democrat
266, So we agree that trump is a fascist,Democrat
267, If Republicans believe in small government then is our biggest failure everbecause his bloated turb,Democrat
268,,Republican
269, Yep The nonstop public cheerleading created DJTs excess Gras,Republican
270, Tests Show Genetic Signature of Virus That May Have Infected President Trump Updated,Republican
271, I regret to inform you that yes were doing it all over again A major TV network is giving Trump a megaphone and a newspape,Democrat
272, this lady screamed in a restaurant I VOTED FOR BIDEN then pointed at me and was like AND KAMALA i think it was racis,Democrat
273, Of course this woman deserves to be commended but we have to call this what it is This is the result of Republicans nonst,Democrat
274, Kayleigh McEnany has been BLOCKED from Twitter for knowingly spreading disinformation Her lies have consequences Now le,Democrat
275, Facebook limits spread of The Posts Hunter Biden expos,Republican
276,           ,Republican
277,,Republican
278,Laura Ingraham Calls It How You Know Trump Won the Debate in One CNN Screenshot,Republican
279, Did the Omaha fiasco originate because Trump campaign stiffed  or tried to stiff  the bus company,Democrat
280, MAKE AMERICA GREAT AGAIN,Republican
281,And oh gee Ill potentially have to pay  higher taxes Seems fair And cut the military budget too,Democrat
282, Trump tells Nevada rally hes absolutely going to win California in November  Raw Story,Republican
283, Several Ohio counties that expected absentee ballots printed from Midwest Direct are now scrambling for alternativesIn,Democrat
284, While harassing the Biden bus in Texas yesterday the Trump convoy included a HEARSE This image really sums up the two ca,Democrat
285,Vote Trump yahhh,Democrat
286, Trump quietly signed an executive order allowing him to purge thousands of federal workers he deems disloyal Every day th,Democrat
287, President Trumps press secretary Kayleigh McEnany gave us a heavy book that she described as the presidents health care,Republican
288, phone banking and this lady was like Im voting for trump and I was like are you aware Joe Biden actually has a plan to help c,Democrat
289, Trump is both a national and a global security risk,Democrat
